공고명 (title),주관기관 (agency),기관구분 (agencyType),공고유형 (category),접수시작 KST (applyStartAt),접수마감 KST (applyEndAt),접수중 (isActive),지원대상 (applicantTypes),대상지역 (targetRegions),대상업종 (targetIndustries),업력하한 (minBusinessYears),업력상한 (maxBusinessYears),종업원수상한 (maxEmployees),연매출상한 (maxRevenue),지원금하한 (amountMin),지원금상한 (amountMax),요구인증 (requiredCertifications),대표자연령하한 (minAge),대표자연령상한 (maxAge),법인한정 (corporationOnly),반복여부 (recurrence),요약 (summary),지원자격 원문 (applyTargetDetail),제외대상 원문 (excludeTarget),공고원문 URL (sourceUrl),수집출처 (sourceApi),원본 공고번호 (externalId),적재일시 KST (createdAt),갱신일시 KST (updatedAt),내부 식별자 (id),원문 지역 (raw.rawRegion),원문 공고유형 (raw.rawCategory),원문 지원대상 (raw.rawApplyTarget),원문 업력 (raw.rawBusinessYears),원문 대상연령 (raw.targetAge),원문 담당부서 (raw.department),원문 연락처 (raw.contact),원문 우대사항 (raw.preferential),통합공고 여부 (raw.integratedNotice)
2026년 제4회 창업기업성장지원센터(이노플러스 스테이지) 신규 입주기업 모집공고,(재)광주테크노파크원장,공공기관(public),입주공간(space),2026-07-20 00:00,2026-08-21 23:59,Y,개인사업자(individual) | 법인(corporate),,,,10,,,,,,20,,,단발(once),광주테크노파크는 우수한 기술력을 갖춘 창업기업 등의 성장을 지원하기 위해 창업기업성장지원센터(이노플러스 스테이지) 입주기업을 모집하오니 입주를 희망하는 기업들의 많은 신청 바랍니다,"- 제조업(스마트제조, 제조AI 등)
- 지식기반산업(지식산업, 첨단기술활용 산업)
- 정보통신산업
- 전문, 과학 및 기술 서비스업 등","- 산업집적활성화 및 공장설립에 관한 법률 시행령 제36조의 4 의거 제한업종
- 대기환경보전법에 의한 대기오염물질, 물환경보전법에 의한 수질오염물질, 악취방지법에 의한 악취물질 배출 예상업종
- 특정유해물질으 발생하는 업종(도금업, 도장업 등)
- 폐수를 다량 발생시키는 업종 (피혁, 엽색, 제지업 등)
- 대기오염물질 다량 배출업종 (석유화학공업, 타이어제조업, 철강업, 시멘트제조업 등)
- 금융 신용도 불량자, 관련 법규나 사회 통념상 문제가 있는 경우
- 센터 관리·운영기관이 입주기업으로 부적합하다고 판단하는 기업
- 휴·폐업 중에 있는 기업",https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178610,kstartup,178610,2026-08-20 18:24,2026-08-21 20:53,d8f8d948-304c-431f-86aa-cd61d44e35ee,전국,시설ㆍ공간ㆍ보육,"연구기관,일반기업,1인 창조기업","1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 이상 ~ 만 39세 이하,만 40세 이상",사업화허브팀,0625726026,,N
디지털콘텐츠기업 성장지원센터 입주기업 모집 공고(2026-1차),(사)차세대융합기술산업협회,민간(private),입주공간(space),2026-07-20 00:00,2026-08-21 23:59,Y,개인사업자(individual) | 법인(corporate),,,,10,,,,,,20,,,단발(once),"과학기술정보통신부, 안양시, 정보통신산업진흥원은 디지털콘텐츠 강소기업 육성 일환으로 사무공간·회의실·메타버스 테스트랩 등 인프라 시설 및 기업별 맞춤형 사업화 지원 프로그램을 제공하는 디지털콘텐츠기업 성장지원센터를 운영하고 있습니다.
이에, 과학기술정보통신부와 정보통신산업진흥원, 차세대융합콘텐츠산업협회는 디지털콘텐츠기업 성장지원센터 입주기업 모집을 시행하오니, 관련 기업의 많은 관심과 참여바랍니다.","○가상융합기술(XR/VR/AR), AI 등 신기술을 접목하여 디지털콘텐츠를 제작·공급하고 있는 중소기업 (단, 접수마감일 기준 설립 3년 이상인 기업)
* 중소기업기본법 제2조(중소기업의 범위)에 해당하는 기업
** 개인사업자는 개업일자(사업자등록증), 법인사업자는 법인등기일자(법인등기부등본) 기준",,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178615,kstartup,178615,2026-08-20 18:24,2026-08-21 20:53,2f136d99-4e88-4dfe-b016-c7ae8d6f21bf,전국,시설ㆍ공간ㆍ보육,일반기업,"5년미만,7년미만,10년미만","만 20세 이상 ~ 만 39세 이하,만 40세 이상",산업기반팀,025585180,,N
[숭실대학교 캠퍼스타운] 2026 숭실 스타트업 아카데미 8월 참여자 모집,숭실대학교 캠퍼스타운사업단,공공기관(public),교육·멘토링(education),2026-07-24 00:00,2026-08-21 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),서울,,,10,,,,,,20,,,단발(once),"숭실대학교 캠퍼스타운에서 창업자들이 직면한 애로사항과 관심도를 반영한 주제를 선정하여,  전문적이고 

실효성 있는 창업 정보를 제공하는 실무 중심의 교육을 진행합니다. 많은 관심과 참여 부탁드립니다.","스타트업 대표 및 임직원, 예비 창업자 및 창업에 관심이 있는 학생 등",,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178666,kstartup,178666,2026-08-20 18:24,2026-08-21 20:53,312a9287-7c1f-4b99-a727-584f45b3e8fa,서울,창업교육,"대학생,일반인,대학,연구기관,일반기업,1인 창조기업","예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 이상 ~ 만 39세 이하,만 40세 이상",창업지원단,028287481,,N
2026년 전주 로컬브랜딩 아이디어 해커톤 참가팀 모집,전주시지역소통협력센터,민간(private),교육·멘토링(education),2026-07-22 00:00,2026-08-21 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),전북,,,10,,,,,,20,,,단발(once),전주소통협력센터에서는 전주시 지역자원을 활용한 로컬브랜딩 커뮤니티를 지원하여 차별화된 로컬 사업 발굴을 위한 <2026년 전주 로컬브랜딩 아이디어 해커톤>을 공고 모집하오니 많은 관심과 참여 부탁드립니다.,"전주 지역자원을 활용한 아이디어가 있는 누구나
총 15팀 모집(2~5인 팀 구성)",,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178675,kstartup,178675,2026-08-20 18:24,2026-08-21 20:53,675b3cff-0f73-4ef1-a3af-78cd54d80d6e,전북,멘토링ㆍ컨설팅ㆍ교육,"대학생,일반인,대학,연구기관,일반기업","예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 이상 ~ 만 39세 이하,만 40세 이상",지역소통협력팀,0632887103,,N
[창원산업진흥원] CES2027 참가기업 지원사업 참가기업 모집 공고,(재)창원산업진흥원장,공공기관(public),수출·해외진출(export),2026-07-22 00:00,2026-08-21 23:59,Y,개인사업자(individual) | 법인(corporate),경남,,,5,,,,,,,,,단발(once),창원시 창업기업의 해외 마케팅 및 글로벌 역량 증대를 위하여 ｢CES2027 참가기업 지원사업｣을 추진하오니 관심 있는 관내 기업의 많은 참여를 바랍니다.,신제품을 보유한 창원시 소재 창업기업 중 CES 유레카파크 조건을 충족하는 기업 6개사,"- 신청일 기준 휴·폐업 중인 기업
- 참여기업 사업자등록증 소재지가 창원이 아닌 경우
- 창원산업진흥원의 지원을 받아 CES 유레카파크에 2회 참가한 기업
- 타 기관으로부터 중복 지원을 받은 경우
- 접수서류에 누락이 있거나 허위사실을 기재한 경우",https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178679,kstartup,178679,2026-08-20 18:24,2026-08-21 20:53,c9dd0f1d-6408-45aa-b420-042c82b9c0ce,경남,글로벌,일반기업,"1년미만,2년미만,3년미만,5년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",창업인재양성팀,0557167743,,N
2026년 재도전 아이디어 경진대회 참가자 모집 (~08.21),(재)대전창조경제혁신센터,공공기관(public),입주공간(space),2026-07-30 00:00,2026-08-21 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),,,,10,,,,,,,,,단발(once),재창업 아이디어 경진대회를 다음과 같이 공고하오니 참여를 희망하는 재창업자는 안내에 따라 신청하기 바랍니다.,"◦ 신청자격 : 예비 재창업자, 재창업 3년 미만 창업자 또는 폐업 위기 창업자",,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178738,kstartup,178738,2026-08-20 18:24,2026-08-21 20:53,a2620b49-41f1-4021-83ab-8ce9b29a519a,전국,시설ㆍ공간ㆍ보육,"대학생,일반인,대학,연구기관,일반기업,1인 창조기업","예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",글로벌상생협력실,0423850537,,Y
2026 KB스타터스 전문가 세미나,서울창조경제혁신센터,공공기관(public),교육·멘토링(education),2026-07-31 00:00,2026-08-21 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),,,,10,,,,,,,,,단발(once),2026 KB스타터스 전문가 세미나 모집을 다음과 같이 공고하오니 참여를 희망하는 창업팀은 안내 따라 신청하기 바랍니다.,"M&A, 세무, 회계, 투자 전문가가 필요한 투자팀",,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178748,kstartup,178748,2026-08-20 18:24,2026-08-21 20:53,580dd396-e40f-43ec-bf70-58e30f8802cc,전국,멘토링ㆍ컨설팅ㆍ교육,"청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업","예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",글로벌,027399365,,N
[인천] 2026년 IP창업존 50기 교육생 모집 공고,인천지식재산센터,민간(private),교육·멘토링(education),2026-08-03 00:00,2026-08-21 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),인천,,,1,,,,,,,,,단발(once),"인천지식재산센터는 인천시 관내 우수한 아이디어와 기술을 보유한 예비 창업자를 발굴하여 아이디어 창출에서 사업화까지 연계지원하고 있습니다.
 IP디딤돌 지원사업 중 지식재산 기반 창업교육인 IP창업존 50기 교육과정을 아래와 같이 운영하고자 하오니, 지식재산권 확보와 창업을 준비 중인 (예비)창업자들의 많은 참여 바랍니다.","인천시민, (예비)창업자, 학생 등 25명 내외",,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178767,kstartup,178767,2026-08-20 18:24,2026-08-21 20:53,1f4546bb-9267-451d-8681-f7c2baeb4ecc,인천,멘토링ㆍ컨설팅ㆍ교육,"청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업","예비창업자,1년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",인천지식재산센터,0328102873,,Y
2026년 하반기 DDP B the B(비더비) 뷰티테크·뷰티 디바이스 전시·체험 및 테스트베드 지원기업 모집,재단법인 서울경제진흥원,공공기관(public),사업화자금(funding),2026-07-31 00:00,2026-08-21 23:59,Y,개인사업자(individual) | 법인(corporate),서울,,,10,,,,,,,,,단발(once),"서울경제진흥원은 DDP에 위치한 뷰티복합문화공간 ‘B the B(비더비)’를 활용하여 기업이 주도적으로 국내외 소비자를 대상으로 제품·기술을 테스트하고 피드백을 받을 수 있도록 지원함으로써, 중소 뷰티테크·디바이스 기업의 소비자 접점 확대와 경쟁력 강화를 지원하고자 합니다.",서울 소재 중소 뷰티테크·디바이스 기업,"- 예비창업자(기업)
- 참여기업 또는 대표자 등이 서울시 사업에 참여 제한 대상인 경우
- B the B 전시 기간 종료 시까지 전시를 위한 기업 제품·서비스 무상 제공 및 관리·유지보수가 불가한 기업
- 기타 사업 공고 시 제시한 신청자격 및 참여조건 기준에 부합하지 않거나 관련하여 허위 또는 그 밖의 부정한 사실이 발견되는 경우
· 신청 이후 위 사항이 밝혀질 경우 선정 제외 또는 취소될 수 있으며, 향후 SBA 사업 참여에 제한될 수 있음
· 해당 사항을 통해 발생하는 모든 민·형사상의 책임(타인의 지적재산권을 침해하였을 경우 발생하는 모든 민·형사상의 책임 포함)은 참가기업에게 있음",https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178775,kstartup,178775,2026-08-20 18:24,2026-08-21 20:53,3cc26de7-1197-4909-8c3a-eea7d7fb1917,서울,사업화,일반기업,"1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",뷰티기업육성팀,0269512913,,N
중견기업 스타트업 동행라운지(참여 스타트업 모집),한국산업지능화협회,민간(private),사업화자금(funding),2026-08-03 00:00,2026-08-21 23:59,Y,개인사업자(individual) | 법인(corporate),,,,10,,,,,,,,,단발(once),중견기업-스타트업 동행라운지에 참여를 희망하는 스타트업을 아래와 같이 모집합니다.,"혁신 스타트업(7년 이내), AI 등 빅테크 스타트업(10년 이내)",,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178784,kstartup,178784,2026-08-20 18:24,2026-08-21 20:53,ec9c2e84-1ce5-4136-8abf-2290c9e589e7,전국,사업화,일반기업,"7년미만,10년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",혁신성지원센터 ,07047034032,,N
2026 빅웨이브 글로벌(일본5차) - ILS2026 참여기업 모집,인천창조경제혁신센터 대표이사,공공기관(public),수출·해외진출(export),2026-08-04 00:00,2026-08-21 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),,,,10,,,,,,,,,단발(once),"인천창조경제혁신센터에서는 일본진출을 희망하는 기업을 대상으로 
빅웨이브 글로벌(일본5차)에 참여할 기업을 모집합니다.
일본시장에 관심있고, ILS2026 오픈이노베이션 전시회에 참여할 
준비된 기업분들의 많은 참여를 바랍니다.",전국 7년이내 스타트업(*초격차분야 10년이내까지),예비창업자,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178794,kstartup,178794,2026-08-20 18:24,2026-08-21 20:53,b85ffde6-516c-477e-a26f-cc8b03b42940,전국,글로벌,일반기업,"예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",글로벌 오픈이노베이션팀,0324585026,,N
